Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640,220,2022-03-17,2024-06-13,819,194,26
TRENDYOLMİLLA Siyah Düğme Detaylı Mini Dokuma Ceket Elbise TWOSS20EL0407,219,2022-03-14,2025-01-14,1037,182,37
TRENDYOLMİLLA Mor Vücuda Oturan Korse Detaylı Dokuma Şık Abiye Elbise TPRSS22EL00097,218,2023-04-27,2024-11-06,559,180,38
TRENDYOLMİLLA Kırmızı Vücuda Oturan Astarlı Dokuma Kısa Şık Abiye Elbise TPRAW19BB0007,217,2022-04-05,2025-03-04,1064,180,37
TRENDYOLMİLLA Siyah Ekose / Kareli V Yaka Mini Dokuma Jile Elbise TWOAW21EL0319,216,2022-03-14,2025-03-05,1087,142,74
TRENDYOLMİLLA Lacivert Belden Açılan Volanlı Dik Yaka Astarlı Midi Dokuma Kışlık Elbise TWOAW21EL0354,214,2022-03-12,2025-03-03,1087,188,26
TRENDYOLMİLLA Siyah Vücudu Saran Gömlek Yaka Mini Dokuma Elbise TWOAW23EL00611,214,2022-09-13,2025-02-04,875,184,30
TRENDYOLMİLLA Çok Renkli Boyundan Bağlamalı Dokuma Kışlık Elbise TWOAW21EL1448,209,2022-03-14,2025-03-09,1091,195,14
TRENDYOLMİLLA Siyah Düğme Detaylı Mini Dokuma Ceket Elbise TWOAW24EL00462,209,2023-09-27,2025-03-09,529,197,12
TRENDYOLMİLLA Siyah Dokuma %100 Pamuk Brode Detaylı Mini Plaj Elbisesi TBESS21EL1248,206,2022-03-21,2024-10-09,933,196,10
TRENDYOLMİLLA Kahverengi Fitted/Vücuda Oturan Askılı Maxi Esnek Örme Kalem Elbise TWOSS23EL02435,205,2023-09-27,2025-03-10,530,186,19
Trendyol Curve Siyah A-Line Dokuma Cep Detaylı Elbise TBBSS22EL1598,204,2022-03-22,2025-03-01,1075,173,31
TRENDYOLMİLLA Lacivert Kuşaklı Yırtmaçlı Çiçek Desenli Midi Dokuma Gömlek Elbise TWOSS20EL2822,201,2022-04-26,2024-11-13,932,167,34
Trendyol Curve Siyah Askılı A-Kesim/Çan Dantelli Uzun Abiye/Mezuniyet/Nişan/Gece Elbisesi TBBAW23AH00187,201,2022-11-07,2025-03-01,845,189,12
TRENDYOLMİLLA Siyah Tek Omuzlu Drapeli Fitted/Vücuda Oturan Esnek Örme Midi Kalem Elbise TWOSS24EL00100,201,2024-05-20,2025-03-10,294,169,32
TRENDYOLMİLLA Siyah Maxi Dokuma Büzgülü Sırt Dekolteli Plaj Elbisesi TBESS23EL00063,201,2023-06-07,2024-11-13,525,162,39
"Trendyol Curve Siyah Örme Drape Detaylı 
Maxi/Uzun Abiye Elbise TBBSS22AD00000",200,2022-07-06,2025-03-02,970,180,20
